product_name,supplier_name,category,location,price,product_url
"ACS SERIES, Capacity: 2 Ton",,Industrial Pumps,,,https://www.indiamart.com/proddetail/acs-series-2856717553397.html?pos=8&kwd=industrial%20pumps&tags=rk:C|plc:1|dt:0|db:01||dtp:p||sv:M|rsf:gd||ri:M_C_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city
"Aluminium Flygt NSW Multistage Pump, 2 HP",,Industrial Pumps,,,https://www.indiamart.com/proddetail/flygt-nsw-multistage-pump-2850353482848.html?pos=9&kwd=industrial%20pumps&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|prv:1500|ri:VGP_B_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=5
Industrial Vacuum Pump,,Industrial Pumps,,,https://www.indiamart.com/proddetail/industrial-vacuum-pump-2850917479991.html?pos=10&kwd=industrial%20pumps&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:40000|ri:T_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=3
"KSB Custom-built Automatic Industrial Pump, 1 Year",Aira Trex Solutions India Private Limited,Industrial Pumps,Bengaluru - Ramamurthy Nagar,6000.0,https://www.indiamart.com/proddetail/automatic-industrial-pump-15239832212.html?pos=1&kwd=industrial%20pumps&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:L|rsf:gd|prv:6000|ri:L_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
Special Customized Pumps,Mieco Pumps & Generators Private Limited,Industrial Pumps,Bengaluru - Nagartapete,,https://www.indiamart.com/proddetail/special-customized-pumps-1231866812.html?pos=2&kwd=industrial%20pumps&tags=rk:A|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_A_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
Industrial Submersible Pump,Ambica Electro Control,Industrial Pumps,Bengaluru - S.P ROAD,7500.0,https://www.indiamart.com/proddetail/industrial-submersible-pump-2852260284433.html?pos=3&kwd=industrial%20pumps&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:7500|ri:T_B_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
Industrial Submersible Pump,Mukambika Industrial Corporation,Industrial Pumps,Bengaluru,,https://www.indiamart.com/proddetail/industrial-submersible-pump-2856915256012.html?pos=4&kwd=industrial%20pumps&tags=rk:B|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_B_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
2 HP Pressure Pumps,Hummer Steel India Private Limited,Industrial Pumps,Bengaluru - Nagasandra,7900.0,https://www.indiamart.com/proddetail/2-hp-pressure-pumps-2852996835762.html?pos=5&kwd=industrial%20pumps&tags=rk:C|plc:1|dt:0|db:01|prc:1|dtp:p||sv:M|rsf:gd|prv:7900|ri:M_C_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=3
"Sugar Industries Pump, Max Flow Rate: Depend On Applocations",Jay Ambe Engineering Co.,Industrial Pumps,Ahmedabad - Deals in Bengaluru,90500.0,https://www.indiamart.com/proddetail/sugar-industries-pump-24926444591.html?pos=6&kwd=industrial%20pumps&tags=rk:A|plc:1|dt:1237|db:25|prc:1|dtp:p|pfs:1|sv:L|rsf:gl|prv:90500|ri:L_A_G250_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=3
Ezee Flow Pump,Industrial & Auto Hardwares,Industrial Pumps,Bengaluru - Kalasipalyam,1200.0,https://www.indiamart.com/proddetail/ezee-flow-pump-7836975073.html?pos=7&kwd=industrial%20pumps&tags=rk:C|plc:1|dt:0|db:01|prc:1|dtp:p||sv:T|rsf:gd|prv:1200|ri:T_C_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
"ACS SERIES, Capacity: 2 Ton",Vinayaka Marketing,Industrial Pumps,Bengaluru - yelahanka,,https://www.indiamart.com/proddetail/acs-series-2856717553397.html?pos=8&kwd=industrial%20pumps&tags=rk:C|plc:1|dt:0|db:01||dtp:p||sv:M|rsf:gd||ri:M_C_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city
"Aluminium Flygt NSW Multistage Pump, 2 HP",Skandha Guru Enterprises,Industrial Pumps,Bengaluru - Bhyraveshwara Nagar,1500.0,https://www.indiamart.com/proddetail/flygt-nsw-multistage-pump-2850353482848.html?pos=9&kwd=industrial%20pumps&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|prv:1500|ri:VGP_B_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=5
Industrial Vacuum Pump,Torr Engineering,Industrial Pumps,Bengaluru - Urban,40000.0,https://www.indiamart.com/proddetail/industrial-vacuum-pump-2850917479991.html?pos=10&kwd=industrial%20pumps&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:40000|ri:T_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=3
"KSB Custom-built Automatic Industrial Pump, 1 Year",Aira Trex Solutions India Private Limited,Industrial Pumps,Bengaluru - Ramamurthy Nagar,6000.0,https://www.indiamart.com/proddetail/automatic-industrial-pump-15239832212.html?pos=1&kwd=industrial%20pumps&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:L|rsf:gd|prv:6000|ri:L_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
Special Customized Pumps,Mieco Pumps & Generators Private Limited,Industrial Pumps,Bengaluru - Nagartapete,,https://www.indiamart.com/proddetail/special-customized-pumps-1231866812.html?pos=2&kwd=industrial%20pumps&tags=rk:A|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_A_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
Industrial Submersible Pump,Ambica Electro Control,Industrial Pumps,Bengaluru - S.P ROAD,7500.0,https://www.indiamart.com/proddetail/industrial-submersible-pump-2852260284433.html?pos=3&kwd=industrial%20pumps&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:7500|ri:T_B_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
Industrial Submersible Pump,Mukambika Industrial Corporation,Industrial Pumps,Bengaluru,,https://www.indiamart.com/proddetail/industrial-submersible-pump-2856915256012.html?pos=4&kwd=industrial%20pumps&tags=rk:B|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_B_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
2 HP Pressure Pumps,Hummer Steel India Private Limited,Industrial Pumps,Bengaluru - Nagasandra,7900.0,https://www.indiamart.com/proddetail/2-hp-pressure-pumps-2852996835762.html?pos=5&kwd=industrial%20pumps&tags=rk:C|plc:1|dt:0|db:01|prc:1|dtp:p||sv:M|rsf:gd|prv:7900|ri:M_C_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=3
"Sugar Industries Pump, Max Flow Rate: Depend On Applocations",,Industrial Pumps,,,https://www.indiamart.com/proddetail/sugar-industries-pump-24926444591.html?pos=6&kwd=industrial%20pumps&tags=rk:A|plc:1|dt:1237|db:25|prc:1|dtp:p|pfs:1|sv:L|rsf:gl|prv:90500|ri:L_A_G250_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=3
Ezee Flow Pump,,Industrial Pumps,,,https://www.indiamart.com/proddetail/ezee-flow-pump-7836975073.html?pos=7&kwd=industrial%20pumps&tags=rk:C|plc:1|dt:0|db:01|prc:1|dtp:p||sv:T|rsf:gd|prv:1200|ri:T_C_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
"ACS SERIES, Capacity: 2 Ton",,Industrial Pumps,,,https://www.indiamart.com/proddetail/acs-series-2856717553397.html?pos=8&kwd=industrial%20pumps&tags=rk:C|plc:1|dt:0|db:01||dtp:p||sv:M|rsf:gd||ri:M_C_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city
"Aluminium Flygt NSW Multistage Pump, 2 HP",,Industrial Pumps,,,https://www.indiamart.com/proddetail/flygt-nsw-multistage-pump-2850353482848.html?pos=9&kwd=industrial%20pumps&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|prv:1500|ri:VGP_B_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=5
Industrial Vacuum Pump,,Industrial Pumps,,,https://www.indiamart.com/proddetail/industrial-vacuum-pump-2850917479991.html?pos=10&kwd=industrial%20pumps&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:40000|ri:T_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=3
"KSB Custom-built Automatic Industrial Pump, 1 Year",Aira Trex Solutions India Private Limited,Industrial Pumps,Bengaluru - Ramamurthy Nagar,6000.0,https://www.indiamart.com/proddetail/automatic-industrial-pump-15239832212.html?pos=1&kwd=industrial%20pumps&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:L|rsf:gd|prv:6000|ri:L_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
Special Customized Pumps,Mieco Pumps & Generators Private Limited,Industrial Pumps,Bengaluru - Nagartapete,,https://www.indiamart.com/proddetail/special-customized-pumps-1231866812.html?pos=2&kwd=industrial%20pumps&tags=rk:A|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_A_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
Industrial Submersible Pump,Ambica Electro Control,Industrial Pumps,Bengaluru - S.P ROAD,7500.0,https://www.indiamart.com/proddetail/industrial-submersible-pump-2852260284433.html?pos=3&kwd=industrial%20pumps&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:7500|ri:T_B_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
Industrial Submersible Pump,Mukambika Industrial Corporation,Industrial Pumps,Bengaluru,,https://www.indiamart.com/proddetail/industrial-submersible-pump-2856915256012.html?pos=4&kwd=industrial%20pumps&tags=rk:B|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_B_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
2 HP Pressure Pumps,Hummer Steel India Private Limited,Industrial Pumps,Bengaluru - Nagasandra,7900.0,https://www.indiamart.com/proddetail/2-hp-pressure-pumps-2852996835762.html?pos=5&kwd=industrial%20pumps&tags=rk:C|plc:1|dt:0|db:01|prc:1|dtp:p||sv:M|rsf:gd|prv:7900|ri:M_C_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=3
"Sugar Industries Pump, Max Flow Rate: Depend On Applocations",Jay Ambe Engineering Co.,Industrial Pumps,Ahmedabad - Deals in Bengaluru,90500.0,https://www.indiamart.com/proddetail/sugar-industries-pump-24926444591.html?pos=6&kwd=industrial%20pumps&tags=rk:A|plc:1|dt:1237|db:25|prc:1|dtp:p|pfs:1|sv:L|rsf:gl|prv:90500|ri:L_A_G250_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=3
Ezee Flow Pump,Industrial & Auto Hardwares,Industrial Pumps,Bengaluru - Kalasipalyam,1200.0,https://www.indiamart.com/proddetail/ezee-flow-pump-7836975073.html?pos=7&kwd=industrial%20pumps&tags=rk:C|plc:1|dt:0|db:01|prc:1|dtp:p||sv:T|rsf:gd|prv:1200|ri:T_C_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
"ACS SERIES, Capacity: 2 Ton",Vinayaka Marketing,Industrial Pumps,Bengaluru - yelahanka,,https://www.indiamart.com/proddetail/acs-series-2856717553397.html?pos=8&kwd=industrial%20pumps&tags=rk:C|plc:1|dt:0|db:01||dtp:p||sv:M|rsf:gd||ri:M_C_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city
"Aluminium Flygt NSW Multistage Pump, 2 HP",Skandha Guru Enterprises,Industrial Pumps,Bengaluru - Bhyraveshwara Nagar,1500.0,https://www.indiamart.com/proddetail/flygt-nsw-multistage-pump-2850353482848.html?pos=9&kwd=industrial%20pumps&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|prv:1500|ri:VGP_B_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=5
Industrial Vacuum Pump,Torr Engineering,Industrial Pumps,Bengaluru - Urban,40000.0,https://www.indiamart.com/proddetail/industrial-vacuum-pump-2850917479991.html?pos=10&kwd=industrial%20pumps&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:40000|ri:T_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=3
"KSB Custom-built Automatic Industrial Pump, 1 Year",Aira Trex Solutions India Private Limited,Industrial Pumps,Bengaluru - Ramamurthy Nagar,6000.0,https://www.indiamart.com/proddetail/automatic-industrial-pump-15239832212.html?pos=1&kwd=industrial%20pumps&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:L|rsf:gd|prv:6000|ri:L_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
Special Customized Pumps,Mieco Pumps & Generators Private Limited,Industrial Pumps,Bengaluru - Nagartapete,,https://www.indiamart.com/proddetail/special-customized-pumps-1231866812.html?pos=2&kwd=industrial%20pumps&tags=rk:A|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_A_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
Industrial Submersible Pump,Ambica Electro Control,Industrial Pumps,Bengaluru - S.P ROAD,7500.0,https://www.indiamart.com/proddetail/industrial-submersible-pump-2852260284433.html?pos=3&kwd=industrial%20pumps&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:7500|ri:T_B_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
Industrial Submersible Pump,Mukambika Industrial Corporation,Industrial Pumps,Bengaluru,,https://www.indiamart.com/proddetail/industrial-submersible-pump-2856915256012.html?pos=4&kwd=industrial%20pumps&tags=rk:B|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_B_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:bengaluru|qr_nm:gl-gd|cs:20064|com-cf:nl|ptrs:na|mc:2081|cat:85|qry_typ:P|lang:en|tyr:1|qrd:260127|mrd:260101|prdt:260129|msf:hs|pfen:1|gli:U0G0I1|gc:Bengaluru|ic:Sidlaghatta|scw:1|emt:7|v=4|crs=xnh-city|r=4
